,position,company,description,location
5051,Data Scientist,Apple,"Research in Natural Language and Machine Learning has already made a deep impact in Appleâs front-line products, such as Siri. Research Scientists at Siri are taking this a step further by redefining artificial intelligence, and creating groundbreaking technology for natural language processing, machine learning, and large scale systems. Come join the Siriâs Natural Language team, and work with the people who created the intelligent assistant that helps millions of people get things done â?just by asking.
Key Qualifications
Expertise and experience in various facets of machine learning and natural language processing, such as classification, feature engineering, information extraction, structured prediction, clustering, semi-supervised learning, topic modeling and ranking Programming experience in one or more of the following: Java, C++, Python or equivalent Hardworking, self-starter, shown ability to manage numerous projects to strict deadlines. Excellent interpersonal skills and ability to get along with all levels of engineers Contributions to research communities, e.g. ACL, NIPS, ICML, CVPR, etc.
Description
The goal of Siriâs Natural Language team is to take Appleâs voice assistant to the next level of intelligence and accuracy using advanced statistical techniques. From improving core modeling algorithms to creating experiments and implementing prototypes rapidly, Siri NLP Research Scientists work on newer challenges every day. They work hand-in-hand with other specialists in the team to build and invent an outstanding product with a prime focus on accuracy, understandability and performance of the product. This position involves a wide variety of skills and innovation, and is a unique opportunity that sits at the cutting-edge of machine learning and software engineering. Ultimately, your work would have a huge impact on hundreds of millions of users across the globe
Education
Masters or PhD in Computer Science, with a specialization in Machine Learning, Natural Language Processing, Robotics, Software Engineering, Human-Computer Interaction or related fields, or equivalent experience
Additional Requirements
#siriNL","Seattle, WA"
5052,Data Scientist,PagerDuty,"Why We Need You


Do you relish the opportunity to impact the direction of a mission-critical application that is in use by hundreds of thousands of engineers and technology leaders around the globe? Are you excited about being on the ground floor of making machine intelligence an integral part of PagerDuty products? If so, read on to find out more about what makes PagerDuty a great place to be a Data Scientist!


WeÃ¢â¬â¢re looking to give our customers insights into their event, incident and response data, and weÃ¢â¬â¢re building out an amazing team to conceptualize, design, build and deliver our vision of an autonomous, intelligent digital operations platform. Our Data Experience team is a small, talented, highly focused team where everyone is part of the product development process from ideation to design, prototyping, planning, and execution.


How You Contribute to Our Vision: Key Responsibilities
As the Senior Data Scientist on the team, you will design and build models and algorithms that will power the next generation of the PagerDuty product. You will apply your quantitative analysis, data mining and machine learning expertise to make sense of the vast quantities of our operational data and will help build out an infrastructure that allows for quick prototyping and rapid development.
You will work alongside our Data Scientists and Software Engineers to unlock the power of data and bring modern, sophisticated machine intelligence to our product. You will influence product development, strategy and roadmap prioritization, and will serve as an ambassador of data science to the rest of the organization. With 10,000+ global customers and growing, youÃ¢â¬â¢ll be solving really interesting technical challenges while helping to push the product in new directions.
Participating in your teamÃ¢â¬â¢s on-call rotation, triaging and addressing production issues as they arise
About You: Skills and Attributes
You have a track record of stepping up and leading successful data science initiatives.
You are a self-starter, able to work closely with other data scientists, engineers, product managers and other teams.
You are comfortable with loosely defined requirements where you exercise your analytical skills to clarify questions, share your approach and collaborate with the rest of the team to build/test elegant solutions in an iterative manner.
You proactively identify obstacles and don't let them stop you from delivering the best value to customers.
You have a desire to stay ahead of the latest industry trends and technologies, and a commitment to continuous learning.
You have experience coaching and mentoring others.
You have an understanding of the importance of empathy: you should have an open mind to others - no matter how senior or junior they are.
You have a calm, assertive approach to diagnosing and fixing urgent problems.
You are a strong communicator with the ability to explain complex topics to a non-technical audience.
Minimum Requirements
Experience working with data scientists and/or machine learning engineers, shipping product features with data science / ML capabilities.
Experience working in an agile environment with iterative development and fast feedback.
Good understanding of CS fundamentals, e.g. algorithms and data structures.
Fluency with one or more programing language: Python, Ruby, Java, Scala, etc.
Experience working with relational/SQL and NoSQL databases.
Experience working with big data platforms such as Hadoop, Spark, Hive, etc.
Experience in statistical programming tools such as R, Matlab, SAS, etc.
Experience with data science toolkits: pandas, Jupyter, scikit, TensorFlow, etc.
Familiarity with statistics concepts and analysis, e.g. hypothesis testing, regression, etc.
Familiarity with machine learning techniques, e.g. classification, clustering, regularization, optimization, dimension reduction, etc.
Benefits to Get Excited About


In addition to working with deeply passionate and intelligent people in a dynamic and open environment, we also offer:
Competitive salaries and company equity
Comprehensive benefits package including: medical, dental, and vision plans for you, your spouse and family; 401K, pre-tax commuter benefits, corporate discounts, cell phone allowance and more!
Generous parental leave, paid vacation (3 weeks vacation your first year, 4 weeks afterwards) in addition to 12 paid holidays and ample sick leave.
How We Work


PagerDuty Engineering teams are set up to be mini innovation pods. We practice what we preach , and believe that every engineer can build great products to delight our thousands of customers.


Teams are set up to be able to achieve success autonomously while remaining accountable for results. Every team has full vertical ownership of their own services and are able to release as frequently as they want to. We practice the mantra of Ã¢â¬ËCode It. Ship It. Own It.Ã¢â¬â¢ and believe that teams are most successful when they are able to own every decision in order to run their software. Every team gets to be a part of our growth by building highly resilient and durable software that scales from our startup customers to Fortune 100 companies.


We deploy over 1000 times a month and every engineer is able to ship high quality software to production on their own. Teams own their own tests and yes, we use PagerDuty to manage incidents . Teams own their own way of working and can use the agile practices of their choice to work collaboratively via incremental delivery.


We support engineers to explore ideas via monthly Hack Days, actively attack our own infrastructure weekly to learn and get better, host an annual internal technical conference called PagerCon , ask our engineers to represent PagerDuty at industry events , and contribute to the open source community.


Each team has a dedicated Engineering Manager, Product Owner, and agile coach to help support our people and teams to be successful. We believe that Management is a separate skill set and have different career paths for our engineers and managers including a full Ã¢â¬Ëstay technicalÃ¢â¬â¢ career track.


About Us


PagerDuty is the leading digital operations management platform for businesses. Our SaaS-based solution empowers over 8,000 small, mid-size and enterprise global customers such as Comcast, eHarmony, Slack and Lululemon with the insight to intelligently respond to critical disruptions for exceptional customer experience. PagerDuty was founded to deliver a new and innovative approach to increase business response and efficiency. We follow agile methodology to build software that enables full-stack event intelligence, response orchestration, continuous learning and delivery, and facilitate the journey towards improved application, system, and service performance and availability. When brand reputation depends on customer satisfaction, PagerDuty arms businesses with the insight to proactively manage incidents and events that may impact customers across your IT environment. We were recently included in the 2016 Deloitte Technology Fast 500, Inc. 500 and Forbes Cloud 100 lists.


Our dedication to our customers, collaborative spirit, Ã¢â¬Ërisk, fail, learnÃ¢â¬â¢ attitude, and a Get Stuff Done ethos drive innovation through our product and our culture. We are incredibly proud of our people programs that enable our employees to deliver their best every day. From our performance achievement philosophy to our great benefits, our robust culture of recognition to our commitment to inclusion and diversity, solving complex technical problems to delivering an amazing customer experience, PagerDuty is where you can do the some of the best work of your career.


Learn more at www.pagerduty.com . Follow our blog and connect with us on Twitter , LinkedIn , YouTube and Facebook .


PagerDuty is committed to creating a diverse environment and is an equal opportunity employer. PagerDuty does not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, parental status, veteran status, or disability status.


PagerDuty uses the E-Verify employment verification program.


Our stewardship of the data of many thousands of customers means that a background check is required to join PagerDuty. We will, nonetheless, consider qualified applicants with arrest and conviction records in accord with applicable law.


.","Seattle, WA"
5053,Data Scientist,Zillow Group,"About the team
Zillow Group is currently seeking a Senior Data Scientist to join the Decision Science team in our Seattle office. Our team is tasked with absorbing billions of rows of data from dozens of sources, organizing them, analyzing them, and visualizing them to help inform both short- and long-term decision-making.

Our structure is very flat and you will soon find yourself communicating directly with Senior Leadership. Each team member focuses on a cross-section of the Zillow Group community. Below are some of the areas in which our Data Scientists focus their energy.

Business - Build data-driven insights to fuel the future of each of Zillow Groupâs businesses (e.g., Agent, Rentals, New Construction). Find opportunities for innovation and assess performance of current initiatives.

Marketing - Develop strategies for B2C and B2B marketing efforts through a wide range of marketing channels and measure their performance.
Product - Analyze how our consumers are interacting with our web and app products to ensure we are providing them with a delightful experience.

Sales - Analyze the intersection of human behavior, incentive structures, and sales process to build a more efficient sales force.

Pricing - Develop and implement pricing strategies that deliver the best value possible for our clients (Premier Agents, Lenders, Landlords, etc).

Tools - Create data-focused information products from billions of data points we collect every single day for internal and external clients.
About the role
Once you're here, you'll work to make important, strategic decisions that influence the direction of the company. More specifically:
Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to make strategic recommendations (e.g., personalized user flows, segmented marketing audiences, more accurate pricing forecasts).
Lead analytical efforts to develop scalable and methodologically rigorous approaches to performance measurement (e.g., AB testing, incrementality testing), forecasting, and other applications of advanced analytics.
Serve as a mentor to other Data Scientists on the team and Analysts across the company by leading learning academies and serving as an available resource for all things related to analytics.
Develop a common language and approach to analyzing and communicating information and insights across teams.
Tell stories that describe analytical results and insights in meetings of all sizes with diverse audiences.
Provide analytics-oriented thought leadership across a variety of technical and non-technical audiences to ensure that all levels of Zillow Group make data-driven decisions.
Who you are
You will not shy away from complexity or uncertainty. You will develop a deep understanding of our mission, business models, and personas. We want you to use that intuition you've developed (both in business and real life) to find opportunities for growth and cultivate insights from our massive data sets. We're looking for a seasoned data scientist who has:
An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar).
6+ years of work experience involving quantitative data analysis and complex problem solving (preferably focused on consumer-facing internet products).
Complete command of SQL, Excel, and either Python or R, along with some experience with Tableau and/or Mode.
Extensive experience directly querying multi-terabyte-sized data sets (with Hive and Presto) including clickstream data (like Google Analytics), third party data (like Facebook) and raw data ingested from non-standard platforms.
A strong understanding of concepts, terminology, and measurement issues related to web analytics along with a history of applying advanced analytical approaches to derive insights from the data.
Strong written, verbal, and visual communication skills to concisely communicate in a way that provides context, offers insights, and minimizes misinterpretation.
The skills to work cross-functionally and push business partners to focus on realistic goals and projects.
Get to know us
Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.","Seattle, WA"
5055,Data Scientist,Celgene Corporation,"Other Locations:US- WA- Seattle

Description
Celgene is a global biopharmaceutical company leading the way in medical innovation to help patients live longer, better lives. Our purpose as a company is to discover and develop therapies that will change the course of human health. We value our passion for patients, quest for innovation, spirit of independence and love of challenge. With a presence in more than 70 countries, and growing - we look for talented people to grow our business, advance our science and contribute to our unique culture.

 NOTIFICATION OF JOB OPENINGS
 Eligible For Employee Referral Program

POSITION
Sr. Data Scientist
SUPERVISOR
Garth McGrath
DEPARTMENT
Informatics and Knowledge Utilization
PREREQUISITES
Ph.D. with at least 6 years of work experience, preferred. Bachelorâs degree in a scientific discipline with at least 14 years work experience or Masterâs degree with at least 12 years work experience.

Summary/Scope
Celgene seeks a talented, results and achievement oriented individual to contribute to our bioinformatics and data management initiatives in Research and Early Development (R&amp;ED). This hands-on role interfaces with programs spanning both discovery and translational sciences where processing and interpreting multi-platform and multi-dimensional âomicâ?data in pre-clinical and clinical settings is being employed to identify molecular drug targets, characterize MOA, prioritize clinical indications and generate patient selection hypotheses. We are seeking an individual with extensive experience managing, processing, integrating and mining a wide range of data types in support of R&amp;ED clinical trials and drug development experiments while working in close collaboration with basic research, translational and computational scientists.

Responsibilities include, but are not limited to, the following:

Work closely with a research and computational scientists to identify and answer important R&amp;ED scientific questions
Provide direct support to R&amp;ED scientists to provide direction regarding data structure in support of project objectives
Responsible for ensuring the accurate, complete and timely collection, delivery and tracking of analytical information from translational R&amp;ED, CRO or collaborating laboratories for analysis, reporting and presentation
Support the definition, delivery and utilization of R&amp;ED, collaborator and partner laboratory analytical data management systems, processes and procedures
Work with R&amp;ED study teams to develop R&amp;ED information management plans that outline data capture, data flow, data queries, manual checks, and data listings needed to ensure data integrity
Participate in comprehensive data review activities in coordination with project and study teams
Work with computational biologists, computational scientists, biostatisticians and study scientists to resolve any data issues found during analysis
Make data, including interim data, available to R&amp;ED department personnel as required
Must have proven ability to work effectively as a multi-disciplinary team member and lead partnering with laboratory and clinical scientists, data management and IT support functions to add value to drug discovery and early development programs
Experience and Education

Bachelorâs degree in a related discipline with at least 14 years experience, Masterâs degree with at least 12 years experience or PhD with at least 6 years experience in biomedical data management, assay development, specimen data management or related discipline
Demonstrated proficiency with molecular biology concepts; and ability to support, develop and deploy laboratory and other research data management processes and procedures as they apply to complex, high dimensional data sets
Demonstrated ability to programmatically integrate, verify and report data according to specifications
Proven ability to work in a team environment with clinical personnel, study monitors, computational biologists, biostatisticians, programmers, and medical writers
Knowledge of FDA/ICH guidelines and industry standard practices regarding data management are helpful but not required
Detailed knowledge and experience in case report form design, central laboratories, programming databases, query resolution, data validation
Computer skills: detailed knowledge of at least one data management system (Oracle Clinical or Clintrial preferred), experience with SAS data sets and conversion procedures required; knowledge of MS Office program suite required
Knowledge of distributed database design and implementation, LAMP/ MySQL, etc. with capability to perform/direct/assess implementation of such databases
Strong understanding of LIMS systems and systematic, relational approaches to data integration and data processing workflows
Excellent skills in SAS and R programming and experience in additional computer languages such as Perl, Python, PHP, S-PLUS or Java (or C/C++)
Working knowledge of both Windows and Linux operating systems is required
Along with programming proficiency must have creativity, and show a strong capacity for independent thinking and the ability to grasp underlying biological questions
Must thrive in a complex, dynamic environment while adapting to dynamically changing priorities
Must have excellent written and verbal communication and presentation skills
Must have excellent time management and organizational skills
Position #

FOR FURTHER INFORMATION, PLEASE CONTACT HUMAN RESOURCES

Celgene is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Celgene complies with all applicable national, state and local laws governing nondiscrimination in employment as well as employment eligibility verification requirements of the Immigration and Nationality Act. All applicants must have authorization to work for Celgene in the U.S.","Seattle, WA 98105"
5056,Data Scientist,Getty Images,"Who You Are:
Weâre looking for a data scientist to connect people with striking visuals that fit their project and brand. Youâll evaluate large data sets through quantitative analysis, modeling, and visualization to help us build better data products and experiences for customers and content contributors. Weâve built a work environment that is highly collaborative and gives you the opportunity to develop creative solutions with the worldâs best imagery.
Our team is responsible for developing new products based on our data. These products span a wide-range of data science skill-sets: visual AI and analysis, natural language processing, recommendation engines, and experimental design. Your expertise in one or more of these areas will create the foundation for the new and exciting products we build.

Your Next Challenge:
Perform data exploration, statistical analysis, and modeling on how the world interacts with Getty Images
Work with and develop state of the art visual models for image classification and recommendation
Partner with product teams to understand customer needs and areas of opportunity
Develop data products that make it easier for our customers to find and license the best imagery
Present research and findings to senior management to help drive strategy

What Youâll Need:
You've obtained an advanced degree in a scientific (natural, social, computer) field or related area and/or 5 years of experience in a data science role.
At least 4 years of experience with computer vision.
You have a deep understanding of machine learning algorithms and proven experience with neural networks.
You have strong coding skills in a statistical/modeling language including: Python/R/C++
Your project portfolio has algorithms written in one of the following frameworks: Tensorflow/(Py)Torch/Keras/Caffe(2)
Experience with distributed computing (Spark/Hadoop) and database technology/query languages (SQL/Hive/etc)
Ability to collaborate closely with multiple teams across with a wide range of technical backgrounds
Curiosity to bring technical solutions to challenges in the creative space
Strong interpersonal skills
#LI-MM1

Who We Are:
Getty Images is the worldâs leader in visual communication, with over 170 million assets available through its premium content site www.gettyimages.com and its leading stock content site www.istock.com. With its advanced search and image recognition technology, Getty Images serves business customers in more than 100 countries and is the first place creative and media professionals turn to discover, purchase and manage images and other digital content. Its award-winning photographers and content creators help customers produce inspiring work which appears every day in the worldâs most influential newspapers, magazines, advertising campaigns, films, television programs, books and online media.
Visit Getty Images at www.gettyimages.com to learn more about how the company is advancing the unique role of digital media in communications and business, and enabling creative ideas to come to life. For company news and announcements, visit press.gettyimages.com, and for the stories, innovation and inspiration behind our content, visit Stories &amp; Trends http://stories.gettyimages.com. Find us on Facebook at www.facebook.com/gettyimages and Twitter at https://twitter.com/GettyImages.","Seattle, WA 98103"
5057,Data Scientist,Amazon.com,"Job Description
The AWS Capacity Forecasting and Planning team is responsible for growing the world's largest Cloud. We forecast customer demand, build inventory replenishment system, and drive utilization improvement for all AWS services.

What we own:
Building a world-class forecasting platform that scales to handling billions of time series data in real time.
Expanding inventory replenishment models and systems for each AWS service in the fast-growing AWS product portfolio.
Finding out the optimal tradeoff between AWS service availability and fleet utilization.
Driving fleet utilization improvement where each 1% means tens of millions of additional free cash flow.
Automating tactical and strategic capacity planning tools to optimize for service availability and infrastructure cost.
What you will learn:
Inventory management and supply chain management for the Cloud.
Resource management and admission control for the Cloud.
The internals of all AWS services.
Keywords:
Forecasting, Statistics, Machine Learning, Optimization, Inventory Management, Supply Chain Management, AWS, Cloud, Cloud Computing, EC2, S3, EBS, DynamoDB, CloudFront, Java, C++, Object Oriented, R, Distributed Systems, High Availability, Scalability, Concurrent

Basic Qualifications
Ph.D. degree2+ years industrial experience in an analysis or research role with progressively increasing responsibility5+ years of experience in data mining/predictive modeling5+ years of experience with Linux/Unix tools5+ years of experience in at least one major programming language (C++, Java, Python, C#, C, FORTRAN, Perl/Ruby, etc.)5+ years of experience in mathematical programming libraries (such as R, Weka, Matlab, SAS)
Preferred Qualifications
Ph.D. in an analytical area such as Mathematics, Statistics, Computer Science, Physics, Engineering or similarAbility to communicate effectively across multiple organizations in the companyExperience with time-series forecastingStrong knowledge of statistics and probabilityStrong knowledge of model design, selection, and hypothesis testingProgramming experience in C++ or JavaExperience with SQL/noSQL databases to manage and analyze large data sets","Seattle, WA"
5058,Data Scientist,The Boston Consulting Group,"We are seeking the experienced and passionate candidate who will be the next member of our team in Seattle, WA. Demonstrating and communicating a passion for building the data foundation, products and capabilities that drive business growth, the Expert Data Scientist will work at the forefront of technology and business via our MSP Catalyst product suites.

Catalyst is the E2E / enterprise grade, cloud-based, Big Data analytics platform that hosts all the Marketing, Sales and Pricing applications developed and commercialized by BCG. These products are critical to our growth plan, scalability, and to the success of our project teams. BCG has made multimillion-dollar investments to create Flagship products that complement our consulting offerings.
Our Next Expert Data Scientist willâ?Build innovative data products (including real-time services, such as personalization and commerce graphing using Big Data platforms with real-time data ingestion and processing)
Execute descriptive analyses, ranging from identifying product opportunities to understanding user behavior
Cultivate strong collaborative relationships with product, engineering, and senior stakeholders
Share technical solutions and product ideas through design review, code reviews, and tech talks
Basic Job Requirements
The Expert Data Scientist needsâ?8+ years of relevant work experience, including expertise in recommendation systems, personalization, collaborative filtering, and content-based filtering
Knowledge of Machine Learning, NLP, Graph Theory, and AI
Fluency in one or more programming languages (Python, Java, R, etc.)
The ability to deliver data science components that are part of successful commercial products
Readiness to collaborate with engineering teams to develop prototypes and software products
The ability to lead and manage a team
The ability to travel, depending on project requirements
A MS degree in Computer Science, Statistics, Applied Mathematics, or related areas preferred
Our ideal candidate also knows their way aroundâ?Big Data and Fast Data (i.e., real time streaming)
Distributed systems (Hadoop/MapReduce, Spark, streaming data processing, cloud architecture, etc.)
SQL or other querying languages
Dashboard and visualization software (Tableau, D3, Mixpanel, Flurry, Google Analytics, etc.)
Key Competencies
Proactive problem solving, analytical skills, time management, and decision making
Ability to lead and mentor on- / offshore development teams using Agile software delivery processes
Excellent interpersonal and communication skills - able to adjust approach to effectively interact at all organizational and technical levels
Fluent written and spoken English (other languages are desirable)
Ability and willingness to give and receive honest, balanced feedback
Focus on providing excellent customer service, meeting user needs, demonstrating competence and character, and inspiring trust
Company Information
The Boston Consulting Group (BCG) is a global management consulting firm and the worldâs leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest value opportunities, address their most critical challenges, and transform their enterprises. BCG was founded in 1963 and is a privately owned firm with more than 14,000 employees across 85 offices in 48 countries. Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both our clients' success and our own standards is what sets BCG apart as a world-class professional services organization. Join BCG - start your career at a company that is consistently ranked as the leader in its field, and is acknowledged as one of the best places to work.
Non-discrimination Statement
The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations.BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor","Seattle, WA 98101"
5063,Data Scientist,Convoy,"Convoy, recently awarded Geekwireâs âStart up of the Yearâ? is a rapidly growing company that uses algorithms to revolutionize the highly fragmented $800 Billion trucking industry. Weâre employing human-in-the-loop ML to scale our manually driven components with personalization, precision, and economics to better understand and predict the marketplace, and hedge fund-like strategies to drive our pricing and bidding models.
At Convoy you will be expected to work autonomously and own your domain end-to-end. We are a highly aligned and loosely coupled team where we operate in a fast paced environment and pivot where needed to focus on what matters most. You will work with high signal-to-noise data to power your deep dive research, modeling, and experimentation projects. If youâre curious minded, love getting things done, and pushing the envelope of data science this is the place to be.
You have the following skills and experience:
MS or PhD in economics/econometrics, statistics, computer science, operations research, a natural science or equivalent quantitative subject
Experience with scientific/statistical languages such as R, Python, or Julia
5+ years of experience doing statistical modeling for analysis and/or prediction
Intelligent but practical; you want to get things done and love simplicity
Excellent presenter and writer
Youâre a leader and will speak up where needed
You have a habit of bias-to-action
Nice to have:
Experience with two-sided markets (platforms) and other economic theory
Experience with human computation and human-in-the-loop ML frameworks
Experience in bidding and pricing (e.g., quant experience)
Experience designing machine learning solutions for a production environment
Big data tools such as Spark, and/or Hadoop
SQL fluency
Convoy is an equal-opportunity employer and we are actively seeking a diverse team. If you're a collaborative team player who wants to have an outsized impact with a small, tight-knit team, we'd love to hear from you!","Seattle, WA"
5064,Data Scientist,Lab126,"Job Description
Fire TV is the #1 best-selling streaming media player in the U.S. As we grow our product selection, we are looking for a Senior Data Scientist to work in a data-driven product management team, helping define the user experience for our new Amazon Fire TV product line. In this role, you will have the opportunity to drive our user behavior analysis to help develop better methods for measuring business success and steering product vision. You will study user behavior in depth to validate critical features and user experiences. The role is inherently cross-functional: You will work closely with a high-energy team consisting of software engineering, data analytics, user experience, device marketing, customer service, and executive team members. This role is a good fit for someone who is creative yet highly data-driven and who has strong customer focus and âproduct senseâ? combined with an established track record in user behavior analysis.

Key Responsibilities:
Define and implement our user behavior analysis methodology and roadmapDevelop a reporting workflow for our product innovationInform our AB testing experimentation for product innovation
Basic Qualifications
5+ years of work experience in deep data analysis and/or data science in consumer behavior at scale5+ years experience in consumer Internet technologies
- Deep statistical skills - ideally utilized in A/B testing
Experience with distributed processing analytics tools (such as Hadoop, Hive, MapReduce, Spark)Experience working with product teams to inform product choicesExperience in user behavior analysisCustomer obsessed and highly curious
Preferred Qualifications
Experience in media entertainment user behaviorStrong strategic aptitude; ability to define and measure success of a product or feature based on user behavior analysis on large data setsExcellent customer experience intuition; demonstrated success in inventing innovative and user-friendly productsAt your best in a dynamic and rapidly changing environmentStrong programming skillsPassion for home entertainment

Amazon.com is an Equal Opportunity-Affirmative Action Employer â?Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","Seattle, WA"
5065,Data Scientist,Zillow Group,"About the team
Zillowâs Consumer Analytics team helps tackle problems and derive insights for organizations across the company. Each team member focuses on a cross-section of the Zillow Group community. The team structure is very flat. You will soon find yourself communicating directly with Senior Leadership. You will work with leaders to make important, strategic decisions influencing the future of the company.
About the role
Zillow is currently seeking a Senior Data Scientist to lead user acquisition efforts within Zillow Offers team (formerly Instant Offers). Our team is tasked with absorbing billions of rows of data from dozens of sources, organizing them, visualizing them, and analyzing them to help inform both short- and long-term decision-making. As a data scientist on our team, you are both a leader with a vision for partners in marketing, and a âroll-up-the-sleeves and get it doneâ?technical expert in analytics related to paid marketing and user acquisition. Once youâre here, youâll lead analysis on SEO, SEM, Mobile Apps, Paid Social, Direct Mail, Digital Advertising, TV Advertising and whatever else our marketing team dreams up to acquire users interested in selling their home through Zillow Offers. Youâll help guide Zillowâs efforts while also providing valuable insights as an individual contributor yourself.

As a part of the team, you will:
Coordinate with other data scientists, big data and machine learning engineers, product developers, and marketers to develop a common language and approach to analyzing and communicating information and insights.
Work with leaders in marketing, product, and analytics to compile robust data sets describing Zillowâs user acquisition efforts to assess the effectiveness of our initiatives.
Identify and size opportunities for new initiatives.
Dive into Zillowâs internal data (think Hive, Presto, SQL Server, Python, Mode Analytics, Tableau, R) to develop critical metric monitoring tools, conduct segmentation and pathing analyses, design and analyze AB test results, and create forecasts for user acquisition and engagement.
Evaluate and summarize the performance of user acquisition efforts in weekly, monthly, and quarterly meetings to keep existing efforts on track, measure progress toward goals, and identify areas for improvement.
Work with partners to fine-tune and adopt our approach to multi-channel modeling to Instant Offers, and to interpret model outputs into tangible marketing strategies, goals, and targets.
Explore Zillowâs clickstream data and streams of marketing-related data to compile AB test results, craft stories describing the effectiveness of implementation and strategy changes, and pursue the development of a multi-touch attribution system.
Who you are
Weâre looking for a top-tier data scientist and manager that has:
The technical skills to absorb and disentangle billions of rows of data
The communication skills to work with a diverse set of partners to develop and implement multiple concurrent and complex project road maps, and (3) the tenacity to embrace and complete a challenging work stream.
You have an Undergraduate or Masterâs degree in a quantitative field (e.g. science, engineering, economics, statistics).
You have 4-6 years of work experience involving quantitative data analysis and complex problem solving focused on paid marketing.
You have foundational analytical skills (e.g., total command of Excel and SQL, experience using R and/or Python) and are a Tableau pro.
You are comfortable talking about methods used in media mix modeling, and can turn model outputs into actionable marketing strategies.
You have worked with gigantic data sets and are comfortable accessing those data (even if theyâre in JSON) with Hive and Presto.
You have interacted with clickstream data (e.g., command of Google Analytics) and raw data ingested from paid marketing channels (e.g., Adwords, Facebook) and have derived insights from those data sources to positively-influence the business.
You understand concepts, terminology, and measurement issues related to web/app analytics and online marketing in terms of user engagement and traffic acquisition/retention.
You have strong written and verbal communication skills, and work well on teams of all sizes with representatives from a diverse set of technical backgrounds.
You have experience successfully coordinating and leading large, long-term, multi-team, multi-disciplinary projects.
You have a passion for what you do.
Get to know us
Zillow Group houses a portfolio of the largest and most vibrant real estate and home-related brands on the web and mobile. Our mission is to build the largest, most trusted and vibrant home-related marketplace in the world.
Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.","Seattle, WA"
5066,Data Scientist,2rbConsulting,"Our client, a cutting-edge technology company, is looking to hire a Lead Data Scientist for a full-time role in Seattle, WA. The individual in this role will collaborate with Data Scientists and engineers to contribute to the innovative products that the company is building.
Our client offers a variety of generous benefits and provides a casual working atmosphere for fun and hard-working individuals.
Overall Responsibilities:
Utilize machine learning, deep learning, and natural language processing techniques to solve and contribute to the companyâs innovative products
Responsible for developing and improving methodologies to support the productâs the company is building
Collaborate with Data Scientists and engineers as well as lead team production
Responsible for conveying rigorous mathematical concepts and considerations to non-experts
Overall Qualifications:
2+ years of experience leading a production team
Advanced proficiency with at least one programming language for data analysis, preferably Python
5+ years of experience and training in cutting-edge research in machine learning
5+ years of experience with natural language processing and deep learning approaches
Strong ability to convey rigorous mathematical concepts and considerations to non-experts
5+ years of experience working in an agile methodology
Masters in a quantitative discipline such as Predictive Analytics, Mathematics, Statistics, or Computer Science
Coursework in Machine Learning, Deep Learning, and Natural Language Processing
If this opportunity is a good match for your background, skills, and career goals, please submit your resume for immediate consideration! Local candidates highly desired, and candidate must be eligible to work in the US without sponsorship. PLEASE, NO 3rd PARTY CANDIDATES.","Seattle, WA"
